name,cropped_points,full_points
l1,116:393;153:385;153:359;161:343;168:334;177:323;185:315;175:309;153:320;142:326;129:337;124:348;119:360;118:376;116:395,116:643;153:635;153:609;161:593;168:584;177:573;185:565;175:559;153:570;142:576;129:587;124:598;119:610;118:626;116:645
l1l1,143:485;197:465;208:486;298:598;215:599;188:556;143:486,143:735;197:715;208:736;298:848;215:849;188:806;143:736
l2,230:458;295:437;355:487;485:592;494:599;396:595;353:562;340:554;313:551;268:501;232:459,230:708;295:687;355:737;485:842;494:849;396:845;353:812;340:804;313:801;268:751;232:709
l2l2,172:376;218:359;213:331;227:309;200:303;182:328;167:356;167:375,172:626;218:609;213:581;227:559;200:553;182:578;167:606;167:625
l3ll3,410:371;326:385;332:359;408:346;412:372,410:621;326:635;332:609;408:596;412:622
l3,21:442;78:428;80:415;35:428;30:444,21:692;78:678;80:665;35:678;30:694
l4,411:394;413:373;328:387;322:406;411:395,411:644;413:623;328:637;322:656;411:645
l4l4,1:472;82:467;88:431;2:457;3:472,1:722;82:717;88:681;2:707;3:722
l2-l4,383:499;383:458;407:433;420:424;433:413;418:397;391:410;375:422;365:431;356:443;350:455;342:469;384:501,383:749;383:708;407:683;420:674;433:663;418:647;391:660;375:672;365:681;356:693;350:705;342:719;384:751
l1-l3,118:357;103:347;38:390;63:393;116:363,118:607;103:597;38:640;63:643;116:613
